,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__features__featureextractor__features_names,param_model__probability,param_model__kernel,param_model__C,param_model__gamma,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
7,4.077374362945557,0.07043905833544473,0.1326277732849121,0.0053197396927460935,"['len', 'num_punctuation', 'num_upper']",True,linear,1.0,,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 1}",0.8623024830699775,0.8409343715239155,0.8745910577971646,0.8571428571428571,0.8769230769230769,0.8623787692913982,0.013022746762936145,1
11,5.792426061630249,0.11434434230027303,0.13811588287353516,0.01933183355808776,"['len', 'num_punctuation', 'num_upper']",True,linear,10.0,,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 10}",0.8691796008869179,0.8419889502762431,0.8669527896995708,0.8524590163934426,0.8727272727272727,0.8606615259966895,0.011607463898789201,2
6,3.904208040237427,0.1073844117436528,0.13557958602905273,0.011195111282614785,"['len', 'num_punctuation']",True,linear,1.0,,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 1}",0.8597285067873304,0.84,0.8724100327153762,0.8514851485148515,0.8762322015334063,0.8599711779101927,0.013342155218945585,3
10,5.438593149185181,0.12178171466876521,0.12964043617248536,0.00428248134198785,"['len', 'num_punctuation']",True,linear,10.0,,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 10}",0.8683035714285714,0.8463251670378619,0.8620689655172413,0.849015317286652,0.8629117959617428,0.8577249634464138,0.008526357097357384,4
5,3.9137876510620115,0.06225393123904526,0.12658777236938476,0.007185883587657025,['len'],True,linear,1.0,,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 1}",0.8607021517553793,0.8390677025527192,0.8707926167209555,0.8451327433628318,0.8717391304347826,0.8574868689653338,0.013284562728879812,5
9,5.04926381111145,0.15175209786392385,0.13128185272216797,0.007776393882217341,['len'],True,linear,10.0,,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 10}",0.8612652608213096,0.8426842684268426,0.864516129032258,0.8408342480790341,0.8653846153846154,0.854936904348812,0.010862562386163168,6
67,6.2767737865447994,0.13558128858638996,0.2097219467163086,0.022802647200048983,"['len', 'num_punctuation', 'num_upper']",True,rbf,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation', 'num_upper'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 10}",0.8455467869222097,0.8366890380313199,0.8593238822246456,0.8536312849162011,0.8696604600219058,0.8529702904232563,0.01130976911709566,7
66,6.146768474578858,0.06572614033123354,0.20126476287841796,0.015363787739863848,"['len', 'num_punctuation']",True,rbf,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len', 'num_punctuation'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 10}",0.8542372881355932,0.8382022471910112,0.8599348534201955,0.8484848484848485,0.8634361233480177,0.8528590721159333,0.008919602261124527,8
65,6.183511734008789,0.13743177187132,0.2260267734527588,0.019697307104563154,['len'],True,rbf,10.0,scale,"{'preprocessor__features__featureextractor__features_names': ['len'], 'model__probability': True, 'model__kernel': 'rbf', 'model__gamma': 'scale', 'model__C': 10}",0.8448471121177803,0.8257918552036199,0.8533916849015317,0.8357870894677236,0.8599779492833517,0.8439591381948015,0.012191770137536296,9
4,4.828989410400391,0.0352189216694385,0.1575468063354492,0.004624984408000072,['dummy_feature'],True,linear,1.0,,"{'preprocessor__features__featureextractor__features_names': ['dummy_feature'], 'model__probability': True, 'model__kernel': 'linear', 'model__C': 1}",0.8311965811965812,0.8222698072805139,0.8417721518987342,0.8385026737967914,0.8290155440414507,0.8325513516428144,0.006935256095773103,10
